question,answer1,answer2,answer3,correct
What is the largest planet in our solar system?,Jupiter,Saturn,Neptune,1
"Which animal is bigger, a blue whale or an elephant?",Elephant,Blue whale,They're the same,2
How many legs does a spider have?,6,8,10,2
What do pandas mainly eat?,Bamboo,Fish,Honey,1
Which country invented pizza?,France,Italy,Greece,2
What is the fastest land animal?,Cheetah,Racehorse,Ostrich,1
How many colors are in a rainbow?,5,6,7,3
"What is H2O, better known as?",Salt,Water,Sugar,2
Which planet is known as the Red Planet?,Venus,Mars,Mercury,2
How many minutes are in a full day?,1440,1240,1640,1
