question,answer1,answer2,answer3,correct
What year did the Berlin Wall fall?,1987,1989,1991,2
Which element has the chemical symbol W?,Tin,Titanium,Tungsten,3
"Who painted ""The Persistence of Memory""?",Salvador Dalí,Pablo Picasso,Claude Monet,1
What is the capital of Australia?,Sydney,Canberra,Melbourne,2
How many bones are in the adult human body?,206,212,196,1
Which planet has the most confirmed moons?,Jupiter,Saturn,Neptune,2
In which country was the Caesar salad invented?,Italy,USA,Mexico,3
Which ocean is the deepest?,Atlantic,Indian,Pacific,3
"Who wrote ""One Hundred Years of Solitude""?",Gabriel García Márquez,Jorge Luis Borges,Pablo Neruda,1
What is the longest river in the world?,Amazon,Nile,Yangtze,2
